X3mrL:wXg6p,1684866804880,36,8,0,Mostly Unknowledgeable,Mostly Knowledgeable,Sandy.png,"['709', '727', '776', '857', '931', '973', '992', '1003', '1003', '1000', '979', '959', '953', '972', '1021', '1047', '1080', '1100', '1111', '1119', '1132', '1152', '1161', '1163', '1163']","['863', '837', '774', '680', '615', '584', '567', '555', '551', '545', '478', '409', '273', '155', '55', '25', '1', '0', '0', '0', '0', '29', '56', '76', '79']",1684866854479,49599,1440x900,Chrome,1,0
subject_id,first_time,trial_name,trial_num,counterbalance,trial_left_detail,trial_right_detail,trial_center_detail,trial_mouse_x,trial_mouse_y,timestamp,reaction_time,screen_resolution,browser_name,mouse_stopped_counter,mouse_outside_screen_counter
XY44I:IPpZ5,1684862293581,1,1,0,Mostly Incompetent,Mostly Competent,Bugs.png,"['709', '712', '727', '744', '753', '797', '830', '874', '926', '961', '994', '1020', '1038', '1046', '1054', '1060', '1064', '1066', '1068', '1069', '1071', '1071', '1072', '1072', '1075', '1081', '1085', '1091', '1094', '1097', '1099', '1101', '1104', '1105', '1107', '1109', '1110', '1111', '1116', '1117', '1121', '1127', '1129', '1130', '1130', '1130', '1130', '1130', '1131', '1131', '1131']","['835', '833', '820', '806', '797', '752', '715', '666', '611', '576', '539', '510', '491', '480', '469', '461', '455', '452', '449', '446', '444', '443', '443', '441', '431', '414', '403', '375', '350', '325', '297', '272', '247', '234', '219', '211', '205', '200', '184', '179', '167', '151', '145', '141', '137', '133', '128', '123', '119', '117', '116']",1684862300553,6972,1440x900,Chrome,1,0
XY44I:IPpZ5,1684862300554,2,2,0,Mostly Incompetent,Mostly Competent,Mickey.png,"['712', '712', '721', '735', '752', '769', '789', '812', '838', '866', '893', '927', '946', '962', '973', '980', '989', '995', '998', '1000', '1001', '1002', '1002', '1002', '1003', '1012', '1029', '1051', '1077', '1086', '1101', '1121', '1128', '1134', '1137', '1138', '1139', '1140', '1141', '1142', '1143', '1146', '1149', '1154', '1155', '1157', '1158', '1158']","['778', '777', '771', '760', '748', '733', '717', '695', '667', '630', '593', '546', '523', '502', '485', '474', '458', '448', '442', '438', '437', '436', '435', '435', '425', '407', '366', '313', '245', '225', '185', '136', '120', '106', '98', '93', '90', '87', '84', '81', '79', '74', '68', '60', '57', '55', '54', '54']",1684862306637,6083,1440x900,Chrome,1,0
XY44I:IPpZ5,1684862306637,3,3,0,Mostly Incompetent,Mostly Competent,Wall-e.png,"['725', '715', '645', '561', '471', '395', '375', '334', '306', '296', '286', '281', '278', '278', '277', '277', '277', '277', '277', '275', '273', '271', '271', '271', '271', '273', '274', '275', '275', '275']","['806', '785', '660', '518', '347', '180', '125', '37', '0', '0', '0', '0', '0', '0', '0', '0', '1', '4', '12', '28', '49', '70', '83', '96', '102', '106', '107', '107', '107', '107']",1684862309636,2999,1440x900,Chrome,0,0
XY44I:IPpZ5,1684862309636,4,4,0,Mostly Incompetent,Mostly Competent,luigi.png,"['741', '741', '723', '702', '679', '658', '649', '643', '643', '648', '664', '685', '708', '746', '784', '835', '891', '962', '984', '1037', '1056', '1066', '1076', '1082', '1086', '1089', '1091', '1094', '1096', '1098', '1098', '1100', '1101', '1104', '1106', '1109', '1110', '1110', '1111', '1111']","['820', '811', '769', '728', '685', '635', '602', '562', '526', '491', '465', '442', '422', '392', '361', '320', '272', '212', '194', '155', '144', '139', '134', '132', '131', '130', '130', '130', '131', '132', '132', '132', '132', '125', '120', '114', '112', '110', '110', '110']",1684862312170,2534,1440x900,Chrome,0,0
XY44I:IPpZ5,1684862314329,5,1,0,Mostly Incompetent,Mostly Competent,Lisa.png,"['719', '728', '742', '771', '783', '826', '861', '890', '917', '940', '958', '974', '986', '1000', '1005', '1022', '1028', '1047', '1054', '1062', '1067', '1069', '1070', '1070', '1070', '1070', '1067', '1048', '1033', '1031', '1028', '1026', '1024', '1023', '1022', '1022', '1022', '1022', '1032', '1039', '1044', '1051', '1059', '1062', '1066', '1069', '1074', '1084', '1092', '1105', '1116', '1123', '1127', '1132', '1133', '1134', '1135', '1135', '1135', '1135', '1135', '1136', '1136']","['815', '804', '787', '757', '746', '701', '669', '641', '617', '596', '578', '562', '547', '526', '518', '491', '482', '459', '451', '441', '436', '432', '431', '430', '430', '430', '437', '504', '555', '566', '577', '581', '586', '587', '587', '586', '578', '560', '504', '478', '463', '438', '406', '393', '362', '340', '317', '275', '244', '207', '170', '143', '126', '90', '81', '62', '56', '53', '52', '51', '51', '51', '50']",1684862321253,6924,1440x900,Chrome,1,0
XY44I:IPpZ5,1684862321253,6,2,0,Mostly Incompetent,Mostly Competent,Sandy.png,"['733', '680', '648', '573', '515', '432', '396', '378', '357', '345', '338', '336', '333', '331', '330', '328', '327', '326', '324', '323', '322', '321', '320', '320', '319', '319']","['785', '720', '684', '585', '502', '364', '288', '247', '188', '143', '111', '98', '86', '82', '81', '80', '79', '78', '76', '74', '74', '73', '73', '73', '73', '73']",1684862323785,2532,1440x900,Chrome,0,0
XY44I:IPpZ5,1684862323785,7,3,0,Mostly Incompetent,Mostly Competent,Taylor.PNG,"['704', '719', '762', '821', '866', '922', '961', '993', '1011', '1032', '1048', '1060', '1074', '1079', '1082', '1085', '1087', '1089', '1091', '1094', '1099', '1104', '1109', '1119', '1121', '1124', '1124', '1124', '1124', '1126', '1127']","['849', '825', '757', '667', '593', '492', '412', '344', '306', '264', '235', '219', '200', '192', '188', '183', '179', '173', '168', '159', '151', '140', '131', '114', '110', '105', '105', '104', '104', '103', '102']",1684862326551,2766,1440x900,Chrome,0,0
XY44I:IPpZ5,1684862326551,8,4,0,Mostly Incompetent,Mostly Competent,Spongebob.png,"['723', '725', '727', '731', '733', '734', '736', '737', '740', '742', '745', '747', '749', '753', '772', '782', '819', '843', '886', '909', '936', '956', '967', '976', '979', '1093', '1092', '1088', '1087', '1085', '1084', '1082', '1082', '1082', '1082', '1082', '1082', '1084', '1084', '1085', '1086', '1086', '1087']","['786', '779', '776', '769', '764', '761', '755', '750', '740', '734', '721', '708', '691', '671', '622', '606', '543', '510', '448', '415', '376', '349', '334', '321', '317', '6', '12', '28', '39', '48', '59', '68', '72', '75', '77', '78', '78', '78', '78', '78', '78', '78', '78']",1684862333236,6685,1440x900,Chrome,1,0
